Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Latitude,Longitude,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1434122920,59121MK,NY,COM,01/01/2018,16,VAN,ME/BE,P,0,40404,40404,20190930,9.0,9,9,962304,0009,0000,0537P,,NY,F,5,ST MARKS,,40.7294544,-73.9893159,0,408,F1,,BBBBBBB,ALL,ALL,,0.0,2013,-,0,,,,,
1434117650,3NSSA,NY,PAS,01/01/2018,14,TAXI,TOYOT,P,34190,10510,10610,20180228,13.0,13,13,960375,0013,0000,0051A,2345A,NY,F,150,W 21 ST,,40.7423735,-73.9960189,0,408,C,,BBBBBBB,ALL,ALL,YW,0.0,2012,-,0,,,,,
1425274870,D8K113,VA,PAS,01/01/2018,16,SUBN,HONDA,P,34710,10410,10510,0,18.0,18,420,942028,0420,0000,0535P,,NY,F,54,W 47 ST,,40.7574172,-73.98092539999999,0,408,K2,,BBBBBBB,ALL,ALL,BLUE,0.0,0,-,0,,,,,
1425274869,XC615,FL,PAS,01/01/2018,16,SUBN,KIA,P,34710,10410,10510,0,18.0,18,420,942028,0420,0000,0534P,,NY,F,54,W 47 ST,,40.7574172,-73.98092539999999,0,408,K2,,BBBBBBB,ALL,ALL,BLACK,0.0,0,-,0,,,,,
1425274833,FEL1251,NY,PAS,01/01/2018,16,SDN,HONDA,P,34710,10410,10510,20180821,18.0,18,420,942028,0420,0000,0530A,,NY,F,50,W 47 ST,,40.7573938,-73.9806151,0,408,K2,,BBBBBBB,ALL,ALL,BLACK,0.0,2010,-,0,,,,,
1425274821,764A37,NV,PAS,01/01/2018,16,SUBN,NISSA,P,34710,10410,10510,0,18.0,18,420,942021,0420,0000,0534P,,NY,F,50,W 47 ST,,40.7573938,-73.9806151,0,408,K2,,BBBBBBB,ALL,ALL,SILVE,0.0,0,-,0,,,,,
1425274808,BWBH800,99,PAS,01/01/2018,16,SDN,ME/BE,P,34710,10410,10510,0,18.0,18,420,942028,0420,0000,0532P,,,F,30,W 47 ST,,40.7571087,-73.9801975,0,408,K2,,BBBBBBB,ALL,ALL,WHITE,0.0,0,-,0,,,,,
1425274584,0GZ9L4,TN,PAS,01/01/2018,16,P-U,FORD,P,34710,10410,10510,0,18.0,18,420,942028,0420,0000,0529P,,NY,F,10,W 47 ST,,40.7568084,-73.9795594,0,408,K2,,BBBBBBB,ALL,ALL,WHITE,0.0,0,-,0,,,,,
1425274535,EDA8470,NY,PAS,01/01/2018,14,SUBN,HONDA,P,34710,10410,10510,20190923,18.0,18,420,942028,0420,0000,0515P,,NY,O,14,W 47 ST,,40.6811503,-74.10453079999999,0,408,F1,,BBBBBBB,ALL,ALL,BLUE,0.0,2007,-,0,,,,,
1434939777,AU9670,NJ,PAS,01/01/2018,85,TRAC,FRUEH,S,46620,29100,24960,0,41.0,41,0,610617,BX02,0000,0315A,1205A,BX,F,490,LONGFELLOW AVE,,40.810416,-73.8835023,20180201,408,K6,,BBBBBBB,ALL,ALL,WHITE,0.0,0,-,0,,,,,
1421814390,FGP3992,NY,PAS,01/01/2018,71,SUBN,CHRYS,P,28790,5040,41700,20190115,114.0,114,809,958755,0809,0000,0408P,,Q,F,,R/O 1-05 ASTORIA BLV,,40.7741372,-73.9365267,0,408,B,,BBBBBBB,ALL,ALL,RED,0.0,2007,-,0,,,,,
1421813877,DBZ6391,NY,PAS,01/01/2018,10,SUBN,INFIN,P,0,0,0,20190223,114.0,114,0,961298,PSA9,0000,0918A,,Q,F,,S/E C/O 41 RD,10 ST,28.8258706,-82.32007639999999,0,408,B,,BBBBBBB,ALL,ALL,WHI,0.0,2012,-,0,,,,,
1421813865,DEZ8826,NY,PAS,01/01/2018,10,SUBN,GMC,P,0,0,0,20190427,114.0,114,0,941227,PSA9,0000,0916A,,Q,,,S/E C/O 41 RD,15TH ST,28.8258706,-82.32007639999999,0,408,B,,BBBBBBB,ALL,ALL,BLK,0.0,2017,-,0,,,,,
1421813646,T629484C,NY,OMT,01/01/2018,24,TAXI,HONDA,P,8590,5790,6740,20180331,114.0,114,809,935792,0809,0000,0102A,,Q,F,12-35,35 AVE,,40.76219469999999,-73.9363863,0,408,J2,,BBBBBBB,ALL,ALL,BLK,0.0,2016,-,0,,,,,
1421812228,FGP3992,NY,PAS,01/01/2018,14,SUBN,CHRYS,P,28790,5040,41700,20190115,114.0,114,809,962113,0809,0000,0408P,,Q,F,,R/O 1-05 ASTORIA BLV,,40.7741372,-73.9365267,0,408,D,,BBBBBBB,ALL,ALL,RED,0.0,2007,-,0,,,,,
1434385644,T969878,TN,PAS,01/01/2018,66,TRL,,S,0,0,0,0,41.0,41,0,670777,0PIU,0000,0530P,,,,,W/S WORTHEN ST,N/O RANDALL AVE,47.41910499999999,-120.3032726,0,408,D1,,BBBBBBB,ALL,ALL,BLK,0.0,0,-,0,,,,,
1437237198,MT41001,PA,PAS,01/01/2018,30,BUS,,P,0,0,0,0,,0,401,940046,0401,0000,0525P,,NY,,,C/O 39 ST,11 AVE W/S,40.3745228,-104.6954284,0,408,C3,,BBBBBBB,ALL,ALL,WHITE,0.0,0,-,0,,,,,
1437261395,KDR4144,PA,PAS,01/01/2018,14,SDN,HONDA,P,0,0,0,0,10.0,10,401,957845,0401,0000,0215P,,NY,,,N/S 40 ST,W/O 10 AVE,40.7554845,-96.66337229999999,0,408,C,,YYYYYYB,0800A,1000P,,0.0,0,-,0,,,,,
1435231880,HMX7471,NY,PAS,01/01/2018,71,SDN,NISSA,P,91430,60330,83630,20190502,60.0,60,60,958903,0060,0000,0126A,,K,F,2920,W 21 STREET,,40.57543039999999,-73.988013,0,408,J2,,BBBBBBB,ALL,ALL,WH,0.0,2006,-,0,,,,,
1435231879,HMX7471,NY,PAS,01/01/2018,74,SDN,NISSA,P,91430,60330,83630,20190502,60.0,60,60,958903,0060,0000,0126A,,K,F,2920,W 21 STREET,,40.57543039999999,-73.988013,0,408,K6,,BBBBBBB,ALL,ALL,WH,0.0,2006,-,0,,,,,
1435303805,GCC2097,NY,PAS,01/01/2018,40,SDN,NISSA,P,43130,5580,5680,20191022,78.0,78,78,949394,0078,0000,0235A,,K,F,119,GARFIELD PL,,40.6740917,-73.9802137,0,408,F1,,BBBBBBB,ALL,ALL,BLK,0.0,2009,-,0,,,,,
1434199680,HRU6500,NY,PAS,01/01/2018,19,SUBN,HONDA,P,10810,36730,36750,20190508,32.0,32,0,962207,PSA6,0000,0955A,0900A,NY,F,2790,8TH AVE,,26.2153213,-81.55066550000001,0,408,E2,,BBBBBBB,ALL,ALL,BLU,0.0,2007,-,0,,,,,
1434199435,HRH5809,NY,PAS,01/01/2018,19,SUBN,JEEP,P,10810,36730,36750,20190430,32.0,32,806,961995,0806,0000,1116A,1112A,,F,2790,8TH AVE,,26.2153213,-81.55066550000001,20180101,408,C3,,BBBBBBB,ALL,ALL,GRAY,0.0,2017,-,0,,,,,
1434199423,HSV8177,99,PAS,01/01/2018,19,SDN,BMW,P,0,40404,40404,0,32.0,32,0,946118,PSA6,0000,1116A,1112A,,F,,7 T9N 95AV,,,,20180101,408,D5,,BBBBBBB,ALL,ALL,BLACK,0.0,2007,-,0,,,,,
1405710901,GTT8241,NY,PAS,01/01/2018,98,,NISSA,P,72730,75130,50830,20180124,73.0,73,73,959332,0073,0000,0420P,1620P,,F,1851,PROSPECT PL,,40.67261939999999,-73.9151426,0,408,C,,BBBBBBB,ALL,ALL,,0.0,0,-,0,,,,,
1426223500,HNY5197,NY,PAS,01/01/2018,24,SUBN,FORD,P,49020,26820,12550,20190402,43.0,43,808,961264,0808,0000,0525A,,BX,O,1350,MANOR AVE,,40.8335376,-73.877236,0,408,D5,,BBBBBBB,ALL,ALL,WHITE,0.0,2003,-,0,,,,,
1425886085,GPR2741,NY,PAS,01/01/2018,98,SUBN,FORD,P,0,0,0,20180615,45.0,45,45,946463,0045,0000,0144P,,BX,F,2839,ZUNETTE AVE,,40.8422454,-73.8354852,0,408,E2,,BBBBBBB,ALL,ALL,BROWN,0.0,2011,-,0,,,,,
1425274882,GEJ944,OK,PAS,01/01/2018,16,SUBN,,P,34710,10410,10510,0,18.0,18,420,942028,0420,0000,0540P,,NY,F,54,W 47 ST,,40.7574172,-73.98092539999999,0,408,K2,,BBBBBBB,ALL,ALL,WHITE,0.0,0,-,0,,,,,
1425274857,GGM4136,NY,PAS,01/01/2018,16,SUBN,ME/BE,P,34710,10410,10510,20190403,18.0,18,420,942028,0420,0000,0532P,,NY,F,50,W 47 ST,,40.7573938,-73.9806151,0,408,K2,,BBBBBBB,ALL,ALL,WHITE,0.0,2017,-,0,,,,,
1425274810,HWS2714,NY,PAS,01/01/2018,16,SUBN,ME/BE,P,34710,10410,10510,20180110,18.0,18,420,942028,0420,0000,0532P,,NY,F,50,W 47 ST,,40.7573938,-73.9806151,0,408,K2,,BBBBBBB,ALL,ALL,SILVE,0.0,2015,-,0,,,,,
1425274572,HSZ3333,NY,PAS,01/01/2018,16,SDN,VOLVO,P,34710,10410,10510,20190802,18.0,18,420,942028,0420,0000,0523P,,NY,F,20,W 47 ST,,40.7569538,-73.97981279999999,0,408,K2,,BBBBBBB,ALL,ALL,GRAY,0.0,0,-,0,,,,,
1425274560,MSV9732,NY,PAS,01/01/2018,16,SDN,TOYOT,P,34710,10410,10510,20190529,18.0,18,420,942028,0420,0000,0521P,,NY,F,20,W 47 ST,,40.7569538,-73.97981279999999,0,408,K2,,BBBBBBB,ALL,ALL,GRAY,0.0,2017,-,0,,,,,
1425274559,HPB4373,NY,PAS,01/01/2018,16,SUBN,FORD,P,34710,10410,10510,20190517,18.0,18,420,942028,0420,0000,0520P,,NY,F,22,W 47 ST,,40.757082,-73.979913,0,408,C,,BBBBBBB,ALL,ALL,GOLD,0.0,2007,-,0,,,,,
1425274547,HLD6957,NY,PAS,01/01/2018,14,SUBN,FORD,P,34710,10410,10510,20190206,18.0,18,420,942028,0420,0000,0516P,,NY,O,14,W 47 ST,,40.6811503,-74.10453079999999,0,408,C,,BBBBBBB,ALL,ALL,WHITE,0.0,2002,-,0,,,,,
1428531117,HHS3760,NY,PAS,01/01/2018,21,SUBN,HONDA,P,0,40404,40404,20180123,72.0,72,420,923036,0420,0000,1136A,,K,F,84,P PARK WEST,,41.918591,-87.63738099999999,0,408,J6,,BBBYYBB,1130A,0100P,,0.0,0,-,0,,,,,
1428081744,GGF7069,99,PAS,01/01/2018,98,SUBN,NISSA,P,51850,14840,15090,20190725,104.0,104,104,941342,0104,0000,0140P,,Q,F,7005,JUNIPER VALLEY RD,,40.714894,-73.884796,0,408,E2,,BBBBBBB,ALL,ALL,GREY,0.0,2003,-,0,,,,,
1421813889,HFM7014,99,PAS,01/01/2018,10,SDN,CHEVR,P,0,0,0,20180311,114.0,114,0,961298,PSA9,0000,0930A,,Q,,,S/E C/O 41 RD,10 ST,28.8258706,-82.32007639999999,0,408,B,,BBBBBBB,ALL,ALL,GRY,0.0,2016,-,0,,,,,
8613655440,T741840C,NY,OMT,01/01/2018,71,4DSD,VOLKS,T,14480,35680,67530,20180531,61.0,61,61,363987,T302,J,0455P,,K,F,1901,Avenue R,,40.606455,-73.95382289999999,0,408,j6,,YYYYYYY,,,GY,,2013,,0,R,71A-Insp Sticker Expired (NYS),,,
8613655415,DUJ6090,NY,PAS,01/01/2018,71,4DSD,TOYOT,T,18630,14730,14780,20180822,61.0,61,61,363987,T302,J,0309P,,K,F,4375,Bedford Ave,,40.59501849999999,-73.9454308,0,408,j6,,YYYYYYY,,,TN,,2006,,0,R,71A-Insp Sticker Expired (NYS),,,
8613655361,EBG4562,NY,PAS,01/01/2018,71,SUBN,TOYOT,T,6880,0,0,20190916,70.0,70,70,363987,T302,J,0244P,,K,I,N,18th Ave,70ft W/of Coney Isla,33.518447,-112.0940126,0,408,j6,,YYYYYYY,,,BL,,2008,,0,R,71A-Insp Sticker Expired (NYS),,,
8613655221,559969,NY,PAS,01/01/2018,71,SUBN,TOYOT,T,6580,8930,8980,20180719,66.0,66,66,363987,T302,J,0121P,,K,F,4720,15th Ave,,40.633137,-73.987201,0,408,j6,,YYYYYYY,,,GY,,2017,,0,R,71A-Insp Sticker Expired (NYS),,,
8613655210,T677354C,NY,OMT,01/01/2018,71,SUBN,CHEVR,T,6580,8580,8630,20180731,66.0,66,66,363987,T302,J,0114P,,K,F,4013,15th Ave,,40.6369479,-73.982536,0,408,j6,,YYYYYYY,,,BK,,2015,,0,R,71A-Insp Sticker Expired (NYS),,,
8613655117,DDF3259,NY,PAS,01/01/2018,71,SUBN,NISSA,T,14030,0,0,20190103,70.0,70,70,363987,T302,J,1219P,,K,I,S,Avenue I,30ft E/of E 15th St,34.1724392,-103.3435746,0,408,j6,,YYYYYYY,,,GY,,2016,,0,R,71A-Insp Sticker Expired (NYS),,,
8613655105,Z0OO0M2O,NY,SRF,01/01/2018,71,4DSD,NISSA,T,35530,32600,14030,20190131,70.0,70,70,363987,T302,J,1215P,,K,O,890,E 16th St,,40.6278667,-73.9611176,0,408,j6,,YYYYYYY,,,WH,,2017,,0,R,71A-Insp Sticker Expired (NYS),,,
8613654976,93442MJ,NY,COM,01/01/2018,71,VAN,FORD,T,18630,14530,14580,20191130,61.0,61,61,363987,T302,J,1127A,,K,F,4052,Bedford Ave,,40.6032138,-73.9476236,0,408,j6,,YYYYYYY,,,WH,,1993,,0,R,71A-Insp Sticker Expired (NYS),,,
8612107027,FCE6620,NY,PAS,01/01/2018,71,SUBN,TOYOT,T,36230,40230,44430,20180727,63.0,63,63,357764,T302,G,0217P,,K,F,675,E 32nd St,,25.8519059,-80.26902079999999,0,408,j6,,YYYYYYY,,,WH,,1996,,0,10,71A-Insp Sticker Expired (NYS),,,
8612106989,CHV1998,NY,PAS,01/01/2018,71,SUBN,TOYOT,T,0,0,0,20190202,63.0,63,63,357764,T302,G,0207P,,K,I,S,Farragut Rd,250ft W/of E 32nd St,39.9532411,-75.21512600000001,0,408,j6,,YYYYYYY,,,GY,,2002,,0,10,71A-Insp Sticker Expired (NYS),,,
8612106953,EMM8185,NY,PAS,01/01/2018,71,4DSD,MAZDA,T,36180,40230,44430,20180918,63.0,63,63,357764,T302,G,0159P,,K,F,659,E 31st St,,40.634879,-73.9466478,0,408,j6,,YYYYYYY,,,GY,,2003,,0,10,71A-Insp Sticker Expired (NYS),,,
8612106941,AJB7786,NY,PAS,01/01/2018,71,SUBN,DODGE,T,36180,0,0,20190317,63.0,63,63,357764,T302,G,0156P,,K,I,E,E 31st St,40ft N/of Glenwood R,36.1190448,-96.0587601,0,408,j6,,YYYYYYY,,,BK,,2006,,0,10,71A-Insp Sticker Expired (NYS),,,
8612106930,T687584C,NY,OMT,01/01/2018,14,4DSD,TOYOT,T,50050,53980,24465,20180228,63.0,63,63,357764,T302,G,0147P,,K,O,37,Hillel Pl,,40.6322451,-73.9487704,0,408,c,,YYYYYYY,,,BK,,2016,,0,10,14-No Standing,,,
8612106898,93TK79,NY,MCL,01/01/2018,20,MCC,HONDA,T,67030,14030,14080,20180430,63.0,63,63,357764,T302,G,1133A,,K,F,2294,Nostrand Ave,,40.6286435,-73.9476006,0,408,d,,YYYYY,0700A,0700P,BLACK,,0,,0,10,20A-No Parking (Non-COM),,,
8612106886,T650509C,NY,OMT,01/01/2018,20,4DSD,FORD,T,67030,14030,14080,20181130,63.0,63,63,357764,T302,G,1131A,,K,F,2294,Nostrand Ave,,40.6286435,-73.9476006,0,408,d,,YYYYY,0700A,0700P,BK,,2010,,0,10,20A-No Parking (Non-COM),,,
8612106874,YH101,NY,PAS,01/01/2018,71,SUBN,LEXUS,T,67030,14030,14080,88880088,63.0,63,63,357764,T302,G,1127A,,K,O,2361,Nostrand Ave,,40.6272223,-73.9467847,0,408,j6,,YYYYYYY,,,BLACK,,0,,0,10,71A-Insp Sticker Expired (NYS),,,
8612106837,T754792C,NY,OMT,01/01/2018,40,4DSD,HONDA,T,14080,36230,64830,20180930,63.0,63,63,357764,T302,G,1117A,,K,F,3201,Avenue J,,40.62723,-73.9448678,0,408,e2,,YYYYYYY,,,BK,,2017,,0,10,40-Fire Hydrant,,,
8612106813,EHE1436,NY,PAS,01/01/2018,71,4DSD,HONDA,T,40930,14130,36480,20180409,63.0,63,63,357764,T302,G,1107A,,K,F,1824,Flatbush Ave,,40.6253697,-73.94014969999999,0,408,j6,,YYYYYYY,,,GY,,2011,,0,10,71A-Insp Sticker Expired (NYS),,,
8612106795,DTU7814,NY,PAS,01/01/2018,71,SUBN,HONDA,T,54050,40930,18950,20181006,63.0,63,63,357764,T302,G,1042A,,K,F,3860,Kings Hwy,,40.62242699999999,-73.9361038,0,408,j6,,YYYYYYY,,,GY,,2009,,0,10,71A-Insp Sticker Expired (NYS),,,
8616804298,95704MC,NY,COM,01/01/2018,14,VAN,FRUEH,T,17710,0,0,20171231,17.0,17,17,352995,T106,E,0437P,,NY,I,S,E 36th St,80ft E/of Tunnel Ent,47.5783543,-122.1769798,0,408,c,,YYYYYYY,,,WH,,2013,,0,04,14-No Standing,,,
8616804286,66614ME,NY,COM,01/01/2018,13,REFG,HIN,T,10210,17970,17990,20180630,17.0,17,17,352995,T106,E,0420P,,NY,F,800,3rd Ave,,40.7556476,-73.9713866,0,408,c2,,YYYYYYY,,,WH,,2003,,0,04,13-No Stand (taxi stand),,,
8616804274,47499MC,NY,COM,01/01/2018,46,VAN,FRUEH,T,10210,17970,17990,20181231,17.0,17,17,352995,T106,E,0417P,,NY,F,800,3rd Ave,,40.7556476,-73.9713866,0,408,F1,,YYYYYYY,,,WH,,2013,,0,04,46B-Double Parking (Com-100Ft),,,
8616804262,HMC008,OK,PAS,01/01/2018,20,4DSD,CHRYS,T,18050,10110,10010,20180588,17.0,17,17,352995,T106,E,0351P,,NY,F,320,E 53rd St,,40.7561488,-73.9663587,0,408,d,,YYYYYYY,,,GREY,,0,,0,04,20A-No Parking (Non-COM),,,
8616804250,48912MJ,NY,COM,01/01/2018,13,VAN,FORD,T,24890,17850,17870,20180731,17.0,17,17,352995,T106,E,0222P,,NY,F,425,Lexington Ave,,40.7523422,-73.9750139,0,408,c2,,YYYYYYY,,,WH,,2016,,0,04,13-No Stand (taxi stand),,,
8616804249,58631MJ,NY,COM,01/01/2018,13,VAN,FORD,T,24890,17850,17870,20180630,17.0,17,17,352995,T106,E,0221P,,NY,F,425,Lexington Ave,,40.7523422,-73.9750139,0,408,c2,,YYYYYYY,,,WH,,2016,,0,04,13-No Stand (taxi stand),,,
8616804237,U73HBH,NJ,PAS,01/01/2018,64,4DSD,MAZDA,T,17850,24890,10210,88880088,17.0,17,17,352995,T106,E,0218P,,NY,F,143,E 43rd St,,40.751922,-73.9743905,0,408,C8,,YYYYYYY,,,BLACK,,0,,0,04,"64-No STD Ex Con/DPL, D/S Dec",,,
8616804225,672WND,WI,PAS,01/01/2018,64,4DSD,TOYOT,T,17850,0,0,20171088,17.0,17,17,352995,T106,E,0216P,,NY,I,N,E 43rd St,120ft E/of Lexington,47.6598623,-122.2900797,0,408,C8,,YYYYYYY,,,WHITE,,0,,0,04,"64-No STD Ex Con/DPL, D/S Dec",,,
8616804201,AYZ8395,NY,PAS,01/01/2018,64,4DSD,JAGUA,T,17850,10110,32620,20190311,17.0,17,17,352995,T106,E,0210P,,NY,F,330,E 43rd St,,40.749886,-73.9706289,0,408,C8,,YYYYYYY,,,BK,,2017,,0,04,"64-No STD Ex Con/DPL, D/S Dec",,,
8616804195,W99JND,NJ,PAS,01/01/2018,14,PICK,FORD,T,34510,10410,10510,88880088,14.0,14,14,352995,T106,E,0126P,,NY,F,64,W 37th St,,40.7512555,-73.9862775,0,408,c,,YYYYYYY,,,BLACK,,0,,0,04,14-No Standing,,,
8616804183,YFL95S,NJ,PAS,01/01/2018,14,PICK,HONDA,T,17690,27790,24890,88880088,14.0,14,14,352995,T106,E,0118P,,NY,F,114,E 35th St,,42.1058163,-80.06706899999999,0,408,c,,YYYYYYY,,,SILVE,,0,,0,04,14-No Standing,,,
8616804160,2257341,IN,PAS,01/01/2018,14,DELV,FRUEH,T,17930,0,0,20180088,17.0,17,17,352995,T106,E,1231P,,NY,I,S,E 47th St,30ft E/of Lexington,47.560883,-122.155115,0,408,c,,YYYYYYY,,,YELLO,,0,,0,04,14-No Standing,,,
8610626957,FJM4080,NY,PAS,01/01/2018,40,SUBN,FORD,T,46730,85330,83330,20190321,79.0,79,79,361084,T301,I,0607P,,K,F,317,Halsey St,,46.8245815,-92.08035430000001,0,408,e2,,YYYYYYY,,,GY,,2006,,3,C,40-Fire Hydrant,,,
8610626908,FZE6163,NY,PAS,01/01/2018,71,VAN,FORD,T,31530,84030,54000,20180430,79.0,79,79,361084,T301,I,0235P,,K,F,455,Dekalb Ave,,40.6906517,-73.9590807,0,408,j6,,YYYYYYY,,,BK,,2006,,0,C,71A-Insp Sticker Expired (NYS),,,
8610626880,T662900C,NY,OMT,01/01/2018,71,4DSD,FORD,T,31530,54000,41930,20180131,79.0,79,79,361084,T301,I,0227P,,K,F,471,Dekalb Ave,,40.69075,-73.9582771,0,408,j6,,YYYYYYY,,,GY,,2012,,0,C,71A-Insp Sticker Expired (NYS),,,
8610626878,ENL4452,NY,PAS,01/01/2018,71,SUBN,TOYOT,T,31530,58730,85730,20190101,79.0,79,79,361084,T301,I,0216P,,K,F,739,Dekalb Ave,,40.6921177,-73.9467052,0,408,j6,,YYYYYYY,,,GL,,2011,,0,C,71A-Insp Sticker Expired (NYS),,,
8610626805,ABR01,NY,SRF,01/01/2018,71,PICK,NISSA,T,72830,85330,83330,20181218,79.0,79,79,361084,T301,I,0139P,,K,F,226,Pulaski St,,40.692907,-73.942497,0,408,j6,,YYYYYYY,,,BL,,2011,,0,C,71A-Insp Sticker Expired (NYS),,,
8610626775,DLZ9886,NY,PAS,01/01/2018,70,SUBN,CADIL,T,47630,67030,58730,20171222,79.0,79,79,361084,T301,I,0117P,,K,F,37,Hart St,,41.844673,-71.39767499999999,0,408,j3,,YYYYYYY,,,BK,,2008,,0,C,70A-Reg. Sticker Expired (NYS),,,
8610626726,ERM2489,NY,PAS,01/01/2018,40,4DSD,FORD,T,47630,83330,55530,20191004,81.0,81,81,361084,T301,I,1247P,,K,O,338,Hart St,,40.694264,-73.9378306,0,408,e2,,YYYYYYY,,,GY,,2015,,4,C,40-Fire Hydrant,,,
8610626696,CJK9425,NY,PAS,01/01/2018,71,4DSD,INFIN,T,93230,85730,85330,20190820,79.0,79,79,361084,T301,I,1158A,,K,F,602,Willoughby Ave,,40.694086,-73.945196,0,408,j6,,YYYYYYY,,,BK,,2011,,0,C,71A-Insp Sticker Expired (NYS),,,
8610626684,VUJ9585,VA,PAS,01/01/2018,40,4DSD,FORD,T,93230,58730,85730,20190488,79.0,79,79,361084,T301,I,1152A,,K,F,526,Willoughby Ave,,40.693728,-73.948359,0,408,e2,,YYYYYYY,,,RED,,0,,5,C,40-Fire Hydrant,,,
